bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Web Series & TV Shows","/explore/web-series-tv-shows","/projects/thedriver-intro-of-the-phantom-ar-motion-comic","2020-10-05T23:59:59-07:00","USD","20807","2.253712871287","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/p9pujtmbwlveb0cr93cd.jpg","true","false","null","2020-10-04T23:59:59-07:00","null","null","null","null","null","2630896","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Join the Oscar-winning artist of Into the Spider-Verse to bring his animated series to life.","[""cars"",""animation"",""books"",""fantasy"",""adventure""]","TheDRIVER: Intro of the Phantom - AR Motion Comic"
"null","Web Series & TV Shows","/explore/web-series-tv-shows","/projects/the-hunted-allgovia","2019-05-10T23:59:59-07:00","EUR","2756","0.744864864865","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lxnbtf8me2zgubemo58p.jpg","false","false","null","2019-04-09T00:00:00-07:00","null","null","null","null","null","2467818","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A Vampire-slaying action-comedy shot in the beautiful Alpine region in Southern Germany.","[""fantasy"",""horror"",""indie"",""adventure"",""comedy""]","The Hunted: Allgovia"
"null","Film","/explore/film","/projects/moonrocks-sci-fi-action-film","2021-06-22T23:59:59-07:00","USD","6355","1.12","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nreseltte6qeuokx5zz3.jpg","true","false","null","2021-05-20T00:00:00-07:00","null","null","null","null","null","2644121","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","80's/90's inspired Sci-Fi Stoner Action movie with an all-star cast! NEW $10,000 STRETCH GOAL!","[""horror"",""comedy"",""fantasy"",""indie"",""thriller""]","Moonrocks - Sci-Fi Action Film"
"null","Productivity","/explore/productivity","/projects/gpd-win3-the-world-s-1st-handheld-aaa-game-console","2021-03-05T23:59:59-08:00","HKD","33101495","127.7759","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bfup7enoowde4fgvhrqu.jpg","true","false","null","2021-01-14T00:00:00-08:00","null","null","null","null","shipping","2648549","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","1165G7/1135G7 processor, 16GB LPDDR4x 4266, 1TB NVMe SSD, 60 FPS for the latest AAA games","[""laptops""]","GPD WIN3:The world’s 1st handheld AAA game console"
"null","Comics","/explore/comics","/projects/shotgun-samurai-vol-1--2","2021-04-07T23:59:59-07:00","USD","7355","11.194","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pjpxrtgm9uybgdomn48k.jpg","true","false","null","2021-02-06T00:00:00-08:00","null","null","null","null","null","2652079","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","200+ Pages of glorious Shotgun Samurai action!","[""books"",""adventure"",""indie"",""men"",""suspense""]","Shotgun Samurai Vol 1"
"null","Wellness","/explore/wellness","/projects/spirit-box-bringing-divine-feminine-into-form","2015-01-07T23:59:59-08:00","CAD","180","0.04","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/aq2mg2wu3hmv06ehp4or.jpg","false","false","null","2014-11-08T05:34:00-08:00","null","null","null","null","null","1004088","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The Spirit Box by artist Andre Ferrella gives form to the powerful experience of the Divine","[""other""]","Spirit Box - bringing Divine Feminine into Form"
"null","Transportation","/explore/transportation","/projects/the-power-mul-electric-bike-assist","2018-03-16T23:59:59-07:00","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tgpgfzfotavcw1vwiusi.jpg","false","false","null","2018-02-04T11:51:43-08:00","null","null","null","null","null","2284665","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The worlds BEST way to electrify your cycling","[""other""]","The Power Mül electric bike assist"
"null","Art","/explore/art","/projects/fuse-postgraduate-show-2021","2021-08-15T23:59:59-07:00","GBP","368","0.245333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hxnvhlowgfcfaptct0mo.jpg","false","false","null","2021-07-21T00:00:00-07:00","null","null","null","null","null","2691155","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","University of Brighton - MA Graphic Design","[""design""]","FUSE Postgraduate Show 2021"
"null","Writing & Publishing","/explore/writing-publishing","/projects/marjorie-magazine-celebrate-retro-living","2017-06-11T23:59:59-07:00","USD","64","0.0128","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/iwacocyyazdwofazhozg.jpg","false","false","null","2017-04-12T18:11:17-07:00","null","null","null","null","null","2067732","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A print & digital magazine bringing together vintage women of the modern world","[""magazines""]","Marjorie Magazine: Celebrate Retro Living"
"null","Culture","/explore/culture","/projects/wojtek-and-polish-2nd-corps-statue-for-cassino","2018-09-30T23:59:59-07:00","EUR","235","0.0047","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/b7n2lpbdik25nwnn9zdr.jpg","false","false","null","2018-08-01T07:52:48-07:00","null","null","null","null","null","2398319","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help us build a statue to remember Wojtek and many brave Polish soldiers.","[""community""]","Wojtek and Polish 2nd Corps Statue for Cassino."
"null","Wellness","/explore/wellness","/projects/audrey-did-a-boo-boo","2019-09-22T23:59:59-07:00","AUD","1207","2.414","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/m6ri1yvkovqomeum9hjb.jpg","false","false","null","2019-09-09T00:00:00-07:00","null","null","null","null","null","2543006","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Cacao Love","[""yoga""]","Audrey did a boo-boo"
